PMID	Mesh	Concept	TREE
22097459	Control Groups	D035061	E05.318.780.074;E05.581.500.149
22097459	Biological Oxygen Demand Analysis	D057919	N06.850.460.350.080.500;N06.850.780.375.349
22097459	Amino Acids	D000596	D12.125
22097459	Brain	D001921	A08.186.211
22097459	Fructose	D005632	D09.546.359.250;D09.546.465.354
22097459	Brain Injuries	D001930	C10.228.140.199;C10.900.300.087;C26.260.118;C26.915.300.200
22097459	gamma-Aminobutyric Acid	D005680	D02.241.081.114.500.350;D12.125.190.350
22097459	Piracetam	D010889	D02.065.064.650;D02.241.081.018.110.650;D03.383.773.812.555
22097459	Heat Stroke	D018883	C26.522.500
22097459	Edema	D004487	C23.888.277
22097459	Stroke	D020521	C10.228.140.300.775;C14.907.253.855
22097459	Nanoparticles	D053758	J01.637.512.600
22097459	Neuropil	D019581	A08.637.500;A08.663.703;A11.650.500;A11.671.685
22097459	Behavioral Symptoms	D001526	F01.145.126
22097459	Stomach	D013270	A03.556.875.875
22097459	Incubator	D007185	E07.461
9337217	Rats	D051381	C0034721
9337217	Animals	D000818	C0003062
9337217	Rats, Inbred Dahl	D020303	B01.050.050.157.760.165;B01.050.050.199.520.760.165;B01.050.150.900.649.865.635.505.700.400.165
9337217	Antihypertensive Agents	D000959	D27.505.954.411.162
9337217	Perindopril	D020913	D03.438.473.766
9337217	Blood Pressure	D001794	E01.370.600.875.249;G09.330.380.076
9337217	Indapamide	D007190	D02.065.884.540;D02.886.590.700.540;D03.438.473.391
9337217	Hypertrophy, Left Ventricular	D017379	C14.280.195.400;C23.300.775.250.400
9337217	Angiotensin-Converting Enzyme Inhibitors	D000806	D27.505.519.389.745.085
9337217	Hypertension	D006973	C14.907.489
9337217	Sodium Chloride, Dietary	D017673	D01.857.650.705;D01.857.700.705
9337217	Aorta	D001011	A07.231.114.056
9337217	Proteinuria	D011507	C12.777.934.734;C13.351.968.934.734;C23.888.942.750
9337217	Diuretics	D004232	D27.505.696.560.500
9337217	Body Weight	D001835	C23.888.144;E01.370.600.115.100.160.120;E05.041.124.160.750;G07.100.100.160.120;G07.700.320.249.314.120
9337217	Nitric Oxide Synthase	D019001	D08.811.682.664.500.772
9337217	Stroke	D020521	C10.228.140.300.775;C14.907.253.855
9337217	Endothelium	D004727	A10.272.491
9337217	Regression Analysis	D012044	E05.318.740.750;N05.715.360.750.695;N06.850.520.830.750
9337217	blood supply	C0005839	
9337217	Rats	D051381	C0034721
9337217	Animals	D000818	C0003062
9337217	Rats, Inbred Dahl	D020303	B01.050.050.157.760.165;B01.050.050.199.520.760.165;B01.050.150.900.649.865.635.505.700.400.165
9337217	Antihypertensive Agents	D000959	D27.505.954.411.162
9337217	Perindopril	D020913	D03.438.473.766
9337217	Blood Pressure	D001794	E01.370.600.875.249;G09.330.380.076
9337217	Indapamide	D007190	D02.065.884.540;D02.886.590.700.540;D03.438.473.391
9337217	Hypertrophy, Left Ventricular	D017379	C14.280.195.400;C23.300.775.250.400
9337217	Angiotensin-Converting Enzyme Inhibitors	D000806	D27.505.519.389.745.085
9337217	Hypertension	D006973	C14.907.489
9337217	Sodium Chloride, Dietary	D017673	D01.857.650.705;D01.857.700.705
9337217	Aorta	D001011	A07.231.114.056
9337217	Proteinuria	D011507	C12.777.934.734;C13.351.968.934.734;C23.888.942.750
9337217	Diuretics	D004232	D27.505.696.560.500
9337217	Body Weight	D001835	C23.888.144;E01.370.600.115.100.160.120;E05.041.124.160.750;G07.100.100.160.120;G07.700.320.249.314.120
9337217	Nitric Oxide Synthase	D019001	D08.811.682.664.500.772
9337217	Stroke	D020521	C10.228.140.300.775;C14.907.253.855
9337217	Endothelium	D004727	A10.272.491
9337217	Regression Analysis	D012044	E05.318.740.750;N05.715.360.750.695;N06.850.520.830.750
9337217	blood supply	C0005839	
20074606	Humans	D006801	B01.050.150.900.649.801.400.112.400.400
20074606	Rats	D051381	C0034721
20074606	Animals	D000818	C0003062
20074606	Macrophages, Alveolar	D016676	A11.329.372.600;A11.627.482.600;A11.733.397.600;A15.382.680.397.600;A15.382.812.522.600
20074606	Particle Size	D010316	G02.842.680
20074606	Nanotubes, Carbon	D037742	D01.268.150.250.500;J01.637.512.850.500
20074606	Lung Injury	D055370	C08.381.520;C26.891.554
20074606	Carbon	D002244	D01.268.150
20074606	No-Observed-Adverse-Effect Level	D019055	E05.940.600;G07.690.620
20074606	Workplace	D017132	N01.824.245.925;N04.452.677.975
20074606	Cost of Illness	D017281	I01.137;N03.219.151.165
20074606	Follow-Up Studies	D005500	E05.318.760.500.750.500.350;N05.715.360.775.175.250.350;N06.850.520.450.500.750.350
20074606	Inhalation Exposure	D019570	N06.850.460.350.112
20074606	Lung	D008168	A04.411
20074606	Bronchoalveolar Lavage	D018893	E05.927.100
20074606	Pulmonary Inflammation	D011014	C08.381.677;C08.730.610
20074606	Atmosphere	D001272	G16.500.275.063;N06.230.300.100
20074606	Occupational Exposure	D016273	N06.850.460.350.600
20074606	economics	C0013557	
15660228	Rats	D051381	C0034721
15660228	Animals	D000818	C0003062
15660228	n-propylbenzene	C024268	C0283675
15660228	tert-butylbenzene	C063841	C0246070
15660228	sec-butylbenzene	C063840	C0640822
15660228	n-butylbenzene	C053761	C0083644
15660228	ethylbenzene	C004912	C0059792
15660228	cumene	C015763	C0056587
15660228	4-xylene	C031286	C0048742
15660228	allylbenzene	C102347	C0531684
15660228	1-phenylpropene	C505958	C1678810
15660228	Toluene	D014050	D02.455.426.559.389.832
15660228	Rats, Sprague-Dawley	D017207	B01.050.150.900.649.865.635.505.700.750
15660228	alpha-methylstyrol	C017915	C0051425
15660228	Basilar Membrane	D001489	A09.246.631.246.125;A10.615.179.124
15660228	Styrene	D020058	D02.455.426.559.389.150.750.800
15660228	Solvents	D012997	D27.720.844
15660228	Water	D014867	D01.455.900;D01.650.550.925
15660228	Carbon	D002244	D01.268.150
15660228	Benzene Derivatives	D001555	D02.455.426.559.389
15660228	Xylene	D014992	D02.455.426.559.389.948
15660228	Styrenes	D013343	D02.455.426.559.389.150.750
15660228	Hair Cells, Auditory, Inner	D006199	A08.663.650.250.250;A08.663.650.915.750.600.350.350;A08.800.950.750.600.350.350;A09.246.631.246.577.325.315;A11.671.650.250.250;A11.671.650.915.750.600.350.350
15660228	Allyl Compounds	D000498	D02.455.326.271.122
15660228	Hearing Loss	D034381	C09.218.458.341;C10.597.751.418.341;C23.888.592.763.393.341
15660228	Octanols	D000442	D02.033.415.600;D10.289.600
15660228	Brain	D001921	A08.186.211
15660228	Body Weight	D001835	C23.888.144;E01.370.600.115.100.160.120;E05.041.124.160.750;G07.100.100.160.120;G07.700.320.249.314.120
15660228	Intubation	D007440	E02.585;E05.497
15660228	Hair	D006197	A17.360
9169065	Female	D005260	C0015780
9169065	Rats	D051381	C0034721
9169065	Animals	D000818	C0003062
9169065	Hexachlorobenzene	D006581	D02.455.426.559.389.261.400;D02.455.526.439.202.400
9169065	Spleen	D013154	A10.549.700;A15.382.520.604.700
9169065	Rats, Inbred BN	D011914	B01.050.050.157.760.110;B01.050.050.199.520.760.110;B01.050.150.900.649.865.635.505.700.400.110
9169065	Rats, Wistar	D017208	B01.050.150.900.649.865.635.505.700.900
9169065	Splenomegaly	D013163	C23.300.775.750
9169065	Macrophages, Alveolar	D016676	A11.329.372.600;A11.627.482.600;A11.733.397.600;A15.382.680.397.600;A15.382.812.522.600
9169065	Venules	D014699	A07.231.461.920;A07.231.908.952
9169065	Hyperplasia	D006965	C23.550.444
9169065	Porphyrins	D011166	D03.383.129.578.840.500;D03.549.909.500;D04.345.783.500;D23.767.727
9169065	Incidence	D015994	E05.318.308.985.525.375;L01.280.975.525.375;N01.224.935.597.500;N06.850.505.400.975.525.375;N06.850.520.308.985.525.375
9169065	Immune System	D007107	A15.382
9169065	Liver	D008099	A03.620
9169065	Lung	D008168	A04.411
9169065	Lymph Node	D008198	A10.549.400;A15.382.520.604.412
9169065	Diet	D004032	G07.610.240
9169065	Immunomodulation	D056747	E02.095.465;G12.425.746
9169065	Immunoglobulin M	D007075	D12.776.124.486.485.114.619.574;D12.776.124.790.651.114.619.574;D12.776.377.715.548.114.619.574
9169065	Endothelium	D004727	A10.272.491
9169065	Body Weight	D001835	C23.888.144;E01.370.600.115.100.160.120;E05.041.124.160.750;G07.100.100.160.120;G07.700.320.249.314.120
9169065	Immunoglobulin E	D007073	D12.776.124.486.485.114.619.312;D12.776.124.790.651.114.619.312;D12.776.377.715.548.114.619.312
9169065	Immunoglobulin G	D007074	D12.776.124.486.485.114.619.393;D12.776.124.790.651.114.619.393;D12.776.377.715.548.114.619.393
9169065	Granulocytes	D006098	A11.118.637.415;A11.148.350;A11.627.340;A15.145.229.637.415;A15.378.316.340;A15.382.490.315
9169065	Norway	D009664	Z01.542.808.618
9629617	Female	D005260	C0015780
9629617	Male	D008297	C0024554
9629617	Humans	D006801	B01.050.150.900.649.801.400.112.400.400
9629617	Rats	D051381	C0034721
9629617	Sheep	D012756	C0036945
9629617	Animals	D000818	C0003062
9629617	Organ Size	D009929	E01.370.600.115.100.660;E05.041.124.715;G07.100.100.660;G07.700.320.249.690
9629617	decamethylcyclopentasiloxane	C114768	C0758117
9629617	Siloxanes	D012833	D01.837.800;D02.715.650;D05.750.900;D25.720.900;J01.637.051.720.900
9629617	Spleen	D013154	A10.549.700;A15.382.520.604.700
9629617	No-Observed-Adverse-Effect Level	D019055	E05.940.600;G07.690.620
9629617	Inhalation Exposure	D019570	N06.850.460.350.112
9629617	Alkaline Phosphatase	D000469	D08.811.277.352.650.035
9629617	Urinalysis	D016482	E01.370.225.124.810;E01.370.390.810;E05.200.124.810
9629617	Immunity, Humoral	D056724	G12.450.050.420
9629617	Cyclophosphamide	D003520	D02.455.526.728.650.730.243;D02.705.672.500.243
9629617	Incidence	D015994	E05.318.308.985.525.375;L01.280.975.525.375;N01.224.935.597.500;N06.850.505.400.975.525.375;N06.850.520.308.985.525.375
9629617	Rats, Inbred F344	D011916	B01.050.050.157.760.200;B01.050.050.199.520.760.200;B01.050.150.900.649.865.635.505.700.400.200
9629617	Body Weight	D001835	C23.888.144;E01.370.600.115.100.160.120;E05.041.124.160.750;G07.100.100.160.120;G07.700.320.249.314.120
9629617	Liver	D008099	A03.620
9629617	Lung	D008168	A04.411
9629617	Erythrocytes	D004912	A11.118.290;A11.443.240;A15.145.229.334
9629617	Enzyme-Linked Immunosorbent Assay	D004797	E05.478.566.350.170;E05.478.566.380.360;E05.478.583.400.170;E05.601.495.350.170;E05.601.495.380.360
9629617	Macrophage	D008264	A11.329.372;A11.627.482;A11.733.397;A15.382.680.397;A15.382.812.522
9629617	Hematology	D006405	H02.403.429.445
9629617	Euthanasia	D005065	E02.760.905.199;I01.880.735.344.500;N02.421.585.905.199
9629617	Cell Proliferation	D049109	G04.299.233.750;G07.700.320.249.410.750
9629617	blood	C0005768	
9629617	toxicity	C0040539	
9629617	immunology	C1522005	
19818335	Humans	D006801	B01.050.150.900.649.801.400.112.400.400
19818335	Mice	D051379	C0026809
19818335	Animals	D000818	C0003062
19818335	Macrophages, Alveolar	D016676	A11.329.372.600;A11.627.482.600;A11.733.397.600;A15.382.680.397.600;A15.382.812.522.600
19818335	neoechinulin A	C490266	C1506580
19818335	Tumor Necrosis Factor-alpha	D014409	D12.644.276.374.500.800;D12.644.276.374.750.626;D12.644.276.972.626;D12.776.124.900;D12.776.395.930;D12.776.467.374.500.800;D12.776.467.374.750.626;D12.776.467.972.626;D23.529.374.500.800;D23.529.374.750.626;D23.529.972.626
19818335	neoechinulin	C015380	C0606628
19818335	TMC 120A	C402696	C0911241
19818335	cladosporin	C000488	C0055853
19818335	Hematoxylin	D006416	D03.438.150.600;D03.830.219.600
19818335	Eosine Yellowish-(YS)	D004801	D02.455.426.559.847.885.347.325;D03.494.953.275.325;D04.615.885.347.325
19818335	Sterigmatocystin	D013241	D03.494.953.852.777;D23.946.587.850
19818335	Mycophenolic Acid	D009173	D02.241.081.193.678;D10.251.618
19818335	Alcian Blue	D000423	D03.438.473.050
19818335	Periodic Acid	D010504	D01.029.260.675;D01.475.705
19818335	Immunohistochemistry	D007150	E01.370.225.500.607.512;E01.370.225.750.551.512;E05.200.500.607.512;E05.200.750.551.512;E05.478.583;H01.158.100.656.234.512;H01.158.201.344.512;H01.158.201.486.512;H01.181.122.573.512;H01.181.122.605.512
19818335	Allergens	D000485	D23.050.063
19818335	Molecular Weight	D008970	G02.842.580
19818335	Piperazines	D010879	D03.383.606
19818335	Indole Alkaloids	D026121	D03.132.436;D03.438.473.402
19818335	Alkaloids	D000470	D03.132
19818335	Isoquinolines	D007546	D03.438.531
19818335	Benzofurans	D001572	D03.438.127
19818335	Isocoumarins	D049934	D03.438.150.446.598;D03.830.219.446.598
19818335	Inflammation	D007249	C23.550.470
19818335	Fungi	D005658	B01.300
19818335	Leukocytes	D007962	A11.118.637;A15.145.229.637;A15.382.490
19818335	Immunomodulation	D056747	E02.095.465;G12.425.746
19818335	Mucus	D009093	A12.200.503
19818335	PCR	D016133	E05.393.620.500
19818335	Building Materials	D003252	J01.637.241
19818335	Staining	D013194	E01.370.225.500.620.670;E01.370.225.750.600.670;E05.200.500.620.670;E05.200.750.600.670
19818335	immunology	C1522005	
12432009	Female	D005260	C0015780
12432009	Male	D008297	C0024554
12432009	Animals	D000818	B01.050
12432009	Humans	D006801	B01.050.150.900.649.801.400.112.400.400
12432009	Vitellogenins	D014819	D12.776.092.500.925;D12.776.290.812.500;D12.776.744.925
12432009	octylphenol	C474055	C1258354
12432009	Ovary	D010053	A05.360.319.114.630;A05.360.576.497;A06.407.312.497
12432009	Estradiol	D004958	D04.808.365.415.248;D06.472.334.851.437.500
12432009	Endocrine Disruptors	D052244	D27.505.696.353;D27.888.141
12432009	4-tert-octylphenol	C105260	C0537565
12432009	Estrogen	D004967	D27.505.696.399.472.277
12432009	Calcium	D002118	D01.268.552.100;D01.552.539.288;D23.119.100
12432009	mRNA	D012333	D13.444.735.544
12432009	Water	D014867	D01.455.900;D01.650.550.925
12432009	Amino Acids	D000596	D12.125
12432009	Immunohistochemistry	D007150	E01.370.225.500.607.512;E01.370.225.750.551.512;E05.200.500.607.512;E05.200.750.551.512;E05.478.583;H01.158.100.656.234.512;H01.158.201.344.512;H01.158.201.486.512;H01.181.122.573.512;H01.181.122.605.512
12432009	Mothers	D009035	F01.829.263.500.320.200;I01.880.225.500.340.270;M01.620.630
12432009	Phenols	D010636	D02.455.426.559.389.657
12432009	Gonads	D006066	A05.360.576;A06.407.312
12432009	Testis	D013737	A05.360.444.849;A05.360.576.782;A06.407.312.782
12432009	Perciformes	D010473	B01.050.150.900.493.602
12432009	Liver	D008099	A03.620
12432009	Biomarkers	D015415	D23.101
12432009	Polymerase Chain Reaction	D016133	E05.393.620.500
15450715	United States	D014481	Z01.107.567.875
15450715	Formaldehyde poisoning	C537268	C0452122
15450715	Risk	D012306	E05.318.740.600.800;G17.680.750;N05.715.360.750.625.700;N06.850.520.830.600.800
15450715	National Cancer Institute (U.S.)	D054547	I01.409.137.500.600.480.150;N03.540.348.500.500.600.480.150
15450715	Uncertainty	D035501	E05.318.740.600.900;F02.463.785.373.820;G17.680.875;N05.715.360.750.625.850;N06.850.520.830.600.900
15450715	Formaldehyde	D005557	D02.047.407
15450715	Cohort Study	D015331	E05.318.760.500.750;N05.715.360.775.175.250;N06.850.520.450.500.750
15450715	Respiratory Hypersensitivity	D012130	C08.674;C20.543.480.680
15450715	Leukemia	D007938	C04.557.337
15450715	Myeloid Leukemia	D007951	C04.557.337.539
15450715	etiology	C0015127	
15450715	methods	C0025664	
11780963	Humans	D006801	B01.050.150.900.649.801.400.112.400.400
11780963	Male	D008297	C0024554
11780963	Rats	D051381	C0034721
11780963	Animals	D000818	C0003062
11780963	octylphenol	C474055	C1258354
11780963	Leydig Cells	D007985	A05.360.444.849.513;A06.407.312.782.513;A11.382.906;A11.436.513
11780963	4-tert-octylphenol	C105260	C0537565
11780963	Androstenedione	D000735	D04.808.054.079.329;D04.808.578.502.112;D06.472.040.502.112;D06.472.334.851.968.875
11780963	bisphenol A	C006780	C0053800
11780963	Progesterone	D011374	D04.808.745.745.654.829;D06.472.334.734.623;D06.472.334.851.687.750
11780963	fulvestrant	C070081	C0935916
11780963	Estradiol	D004958	D04.808.365.415.248;D06.472.334.851.437.500
11780963	Testosterone	D013739	D04.808.054.079.429.824;D06.472.334.851.968.984
11780963	Hydroxycholesterols	D006888	D04.808.247.222.284.478;D04.808.247.808.197.561;D10.570.938.208.603
11780963	Antioxidants	D000975	D27.505.519.217;D27.505.696.706.125;D27.720.799.047
11780963	3 (or 17)-beta-hydroxysteroid dehydrogenase	C044256	C0046725
11780963	Endosulfan	D004726	D02.886.092.408;D03.438.197.408
11780963	Dimethyl Sulfoxide	D004121	D02.886.640.150
11780963	Pregnenolone	D011284	D04.808.745.745.725;D06.472.040.585.745;D06.472.334.851.687.500
11780963	estrogen receptor alpha, human	C506487	C1521863
11780963	Estrogen Receptor alpha	D047628	D12.776.260.698.750.350.174;D12.776.826.750.350.174;D12.776.930.669.750.350.174
11780963	Estrogen	D004967	D27.505.696.399.472.277
11780963	Cholesterol	D002784	D04.808.247.222.284;D04.808.247.808.197;D10.570.938.208;D10.851.208
11780963	Phenols	D010636	D02.455.426.559.389.657
11780963	Benzhydryl Compounds	D001559	D02.455.426.559.389.115
11780963	17-Hydroxysteroid Dehydrogenases	D015067	D08.811.682.047.436.375
11780963	Estrogen Antagonists	D004965	D06.347.360.315;D27.505.696.399.450.360.315
11780963	Mixed Function Oxygenases	D006899	D08.811.682.690.708
11780963	Free Radicals	D005609	D01.339;D02.389
11780963	Lyases	D008190	D08.811.520
19853000	Humans	D006801	B01.050.150.900.649.801.400.112.400.400
19853000	Female	D005260	C0015780
19853000	Rats	D051381	C0034721
19853000	Animals	D000818	C0003062
19853000	Estrogen	D004967	D27.505.696.399.472.277
19853000	Pyrethroids	D011722	D02.455.849.575.812
19853000	Rats, Sprague-Dawley	D017207	B01.050.150.900.649.865.635.505.700.750
19853000	Insecticides	D007306	D27.720.031.700.491;D27.720.723.491;D27.888.723.491
19853000	Organ Size	D009929	E01.370.600.115.100.660;E05.041.124.715;G07.100.100.660;G07.700.320.249.690
19853000	estrogen receptor alpha, human	C506487	C1521863
19853000	Estrogen Receptor alpha	D047628	D12.776.260.698.750.350.174;D12.776.826.750.350.174;D12.776.930.669.750.350.174
19853000	3-phenoxybenzylalcohol	C064809	C0378583
19853000	3-phenoxybenzoic acid	C017618	C0047689
19853000	MCF-7 Cells	D061986	A11.251.210.190.630
19853000	Organophosphates	D010755	D02.705.400
19853000	Hydrolysis	D006868	G02.111.087.505;G02.149.115.505;G02.149.395;G03.495.508
19853000	Weaning	D014886	G07.610.220.500.750;G07.610.593.762;G07.700.620.762
19853000	Sugar Acids	D013400	D02.241.081.844;D02.241.511.902;D09.811
19853000	Sulfates	D013431	D01.248.497.158.845;D01.875.800.800.850
19853000	Amino Acids	D000596	D12.125
19853000	Receptors, Estrogen	D011960	D12.776.260.698.750.350;D12.776.826.750.350;D12.776.930.669.750.350
19853000	Estrogen Antagonists	D004965	D06.347.360.315;D27.505.696.399.450.360.315
19853000	Benzyl Alcohols	D001592	D02.033.160;D02.455.426.559.389.140.200
19853000	Benzoates	D001565	D02.241.223.100;D02.455.426.559.389.127
19853000	Mammary Carcinoma, Human	D001943	C04.588.180;C17.800.090.500
19853000	Cellular Proliferation	D049109	G04.299.233.750;G07.700.320.249.410.750
19853000	Body Weight	D001835	C23.888.144;E01.370.600.115.100.160.120;E05.041.124.160.750;G07.100.100.160.120;G07.700.320.249.314.120
19853000	Luciferase	D008156	D08.811.682.517;D12.776.532.510
19853000	Insect	D007313	B01.050.500.131.617
19853000	Puberty	D011627	G08.686.760;G08.686.785.880.374
19853000	Cell Death	D016923	G04.299.139
19853000	Parent	D010290	F01.829.263.500.320;I01.880.225.500.340;M01.620
8070939	Pregnancy	D011247	G08.686.785.760.769
8070939	Male	D008297	C0024554
8070939	Humans	D006801	B01.050.150.900.649.801.400.112.400.400
8070939	Female	D005260	C0015780
8070939	Welding	D014896	J01.576.370.400.900
8070939	chromium hexavalent ion	C074702	C0168430
8070939	Chromium	D002857	D01.268.556.175;D01.268.956.124;D01.552.544.175
8070939	Sperm Count	D013076	E01.370.225.500.195.870;E01.370.225.992.624;E05.200.500.195.870;E05.200.992.624;E05.242.195.870;G04.170.870
8070939	Stainless Steel	D013193	D01.490.800.900;D01.552.033.847.681;D25.058.807.681;J01.637.051.058.807.681
8070939	Cross-Sectional Studies	D003430	E05.318.760.500.875;N05.715.360.775.175.275;N06.850.520.450.500.875
8070939	Prospective Studies	D011446	E05.318.760.500.750.500.650;N05.715.360.775.175.250.630;N06.850.520.450.500.750.650
8070939	Steel	D013232	D01.490.800;D01.552.033.847;D25.058.807;J01.637.051.058.807
8070939	Pregnancy Outcome	D011256	E01.789.700;G08.686.785.760.769.530
8070939	Hot Temperature	D006358	G01.906.595.543;G16.500.275.063.725.710.380;G16.500.750.775.710.380;N06.230.300.100.725.232;N06.230.300.100.725.710.380
8070939	Historical Cohort Studies	D015331	E05.318.760.500.750;N05.715.360.775.175.250;N06.850.520.450.500.750
8070939	Sperm Penetration	D013084	G08.686.785.760.277.800
8070939	Fertility	D005298	G08.686.210
8070939	Longitudinal Studies	D008137	E05.318.760.500.750.500;N05.715.360.775.175.250.450;N06.850.520.450.500.750.500
8070939	Spermatogenesis	D013091	G04.299.151.650.624;G08.686.785.760.310.760
8070939	Spontaneous Abortion	D000022	C13.703.039
8070939	Infertility	D007246	C12.294.365;C13.351.500.365
8070939	Cancer	D009369	C04
8070939	Study, Case-Referent	D016022	C0007328
8070939	abnormalities	C0000769	
12806113	Child	D002648	M01.060.406
12806113	Humans	D006801	B01.050.150.900.649.801.400.112.400.400
12806113	Evoked Potentials, Visual	D005074	G07.265.500.425;G11.561.270.425;G14.330
12806113	Evoked Potentials, Somatosensory	D005073	G07.265.500.400;G11.561.270.400
12806113	Sural Nerve	D013497	A08.800.800.720.450.760.820.820
12806113	Hearing Loss, Conductive	D006314	C09.218.458.341.562;C10.597.751.418.341.562;C23.888.592.763.393.341.562
12806113	Evoked Potential	D005071	G07.265.500;G11.561.270
12806113	Electroencephalogram	D004569	E01.370.376.300;E01.370.405.245
12806113	Brain	D001921	A08.186.211
12806113	Brain Stem	D001933	A08.186.211.132
12806113	Polyneuropathy	D011115	C10.668.829.800
12806113	Encephalopathies, Metabolic	D001928	C10.228.140.163;C18.452.132
12806113	Systems, Immune	D007107	A15.382
12806113	Questionnaires	D011795	E05.318.308.750;L01.280.800;N05.715.360.300.695;N06.850.520.308.750
12806113	Mold	D005658	B01.300
12806113	Cognition	D003071	F02.463.188
12806113	Parents	D010290	F01.829.263.500.320;I01.880.225.500.340;M01.620
12806113	Human Rights	D006806	I01.880.604.473;N03.706.437
11907961	Humans	D006801	B01.050.150.900.649.801.400.112.400.400
11907961	Male	D008297	C0024554
11907961	Female	D005260	C0015780
11907961	Ketoprofen	D007660	D02.241.223.701.480
11907961	mexenone	C011031	C0066490
11907961	Dermatitis, Photoallergic	D017454	C17.800.174.255.100.600;C17.800.600.325;C17.800.815.255.100.600;C20.543.418.150.600
11907961	sulisobenzone	C009361	C0075618
11907961	benzophenone	C047723	C0053233
11907961	oxybenzone	C005290	C0069803
11907961	tiaprofenic acid	C021270	C0076653
11907961	Fenofibrate	D011345	D02.241.081.114.968.500.625;D02.355.726.305.625;D02.455.426.559.389.115.124.750;D02.455.426.559.389.657.654.305.625;D02.522.223.750
11907961	Petrolatum	D010577	D02.455.699
11907961	Retrospective Studies	D012189	E05.318.760.500.500.500;E05.318.760.500.750.750;N05.715.360.775.175.200.710;N05.715.360.775.175.250.815;N06.850.520.450.500.500.500;N06.850.520.450.500.750.825
11907961	Water	D014867	D01.455.900;D01.650.550.925
11907961	Benzophenones	D001577	D02.455.426.559.389.115.124;D02.522.223
11907961	Propionates	D011422	D02.241.081.751;D10.251.400.706
11907961	Cross Reactions	D003429	G12.425.143.281
11907961	Eczema	D004485	C17.800.174.620;C17.800.815.620
11907961	immunology	C1522005	
11907961	Humans	D006801	B01.050.150.900.649.801.400.112.400.400
11907961	Male	D008297	C0024554
11907961	Female	D005260	C0015780
11907961	Ketoprofen	D007660	D02.241.223.701.480
11907961	mexenone	C011031	C0066490
11907961	Dermatitis, Photoallergic	D017454	C17.800.174.255.100.600;C17.800.600.325;C17.800.815.255.100.600;C20.543.418.150.600
11907961	sulisobenzone	C009361	C0075618
11907961	benzophenone	C047723	C0053233
11907961	oxybenzone	C005290	C0069803
11907961	tiaprofenic acid	C021270	C0076653
11907961	Fenofibrate	D011345	D02.241.081.114.968.500.625;D02.355.726.305.625;D02.455.426.559.389.115.124.750;D02.455.426.559.389.657.654.305.625;D02.522.223.750
11907961	Petrolatum	D010577	D02.455.699
11907961	Retrospective Studies	D012189	E05.318.760.500.500.500;E05.318.760.500.750.750;N05.715.360.775.175.200.710;N05.715.360.775.175.250.815;N06.850.520.450.500.500.500;N06.850.520.450.500.750.825
11907961	Water	D014867	D01.455.900;D01.650.550.925
11907961	Benzophenones	D001577	D02.455.426.559.389.115.124;D02.522.223
11907961	Propionates	D011422	D02.241.081.751;D10.251.400.706
11907961	Cross Reactions	D003429	G12.425.143.281
11907961	Eczema	D004485	C17.800.174.620;C17.800.815.620
11907961	immunology	C1522005	
9827879	Humans	D006801	B01.050.150.900.649.801.400.112.400.400
9827879	Animals	D000818	B01.050
9827879	chromium hexavalent ion	C074702	C0168430
9827879	Chromium	D002857	D01.268.556.175;D01.268.956.124;D01.552.544.175
9827879	Cell Survival	D002470	G04.299.316
9827879	Actins	D000199	D05.750.078.730.250;D12.776.210.500.100;D12.776.220.525.255
9827879	Stress Fibers	D022502	A11.284.430.214.190.750.050.830
9827879	Oxidizing Agents	D016877	D27.720.642;D27.888.569.540
9827879	Hep G2 Cells	D056945	A11.251.860.180.432;A11.436.348.500
9827879	Erythrocyte Indices	D004909	E01.370.225.625.230;E05.200.625.230;G09.188.260
9827879	Cytoskeleton	D003599	A11.284.430.214.190.750
9827879	Chromium Compounds	D017608	D01.220
9827879	Mutagens	D009153	D27.888.569.468
9827879	Kidney	D007668	A05.810.453
9827879	Cell Lines	D002460	A11.251.210
9827879	Opossums	D009893	B01.050.150.900.649.573.575
9827879	Liver	D008099	A03.620
9827879	Microtubules	D008870	A11.284.430.214.190.750.602
9827879	Cell Death	D016923	G04.299.139
9827879	Cell Membrane	D002462	A11.284.149
9827879	Cell Volume	D048429	G04.325
9827879	Structures, Molecular	D015394	G02.111.570;G02.575;G02.842.575
9827879	Chloride Channels	D018118	D12.776.157.530.400.175;D12.776.543.550.425.175;D12.776.543.585.400.175
9827879	Anions	D000838	D01.248.497.158
12738200	Humans	D006801	B01.050.150.900.649.801.400.112.400.400
12738200	Male	D008297	C0024554
12738200	Female	D005260	C0015780
12738200	Acetylglucosaminidase	D000118	D08.811.277.450.483.180.500
12738200	Creatinine	D003404	D03.383.129.308.207
12738200	alpha-1-microglobulin	C016001	C0051266
12738200	Cadmium	D002104	D01.268.556.137;D01.268.956.061;D01.552.544.137
12738200	Oryza sativa	D012275	B01.650.940.800.575.100.822.616;J02.500.200.700
12738200	Phosphorus	D010758	D01.268.666
12738200	Muramidase	D009113	D08.811.277.450.642
12738200	Japan	D007564	Z01.252.474.463;Z01.639.595
12738200	Smoking	D012907	F01.145.466.349.750;F01.145.928.500
12738200	Body Mass Index	D015992	E01.370.600.115.100.125;E05.041.124.125;G07.100.100.125;N06.850.505.200.100.175
12738200	Alpha-Globulins	D000510	D12.776.124.790.106;D12.776.377.715.085
