litagion,superstring
furan,isochromophilone iib
furan,isochromophilone iii
furan,isochromophilone iv
furan,"vulpinic acid, (e)-isome"
furan,"vulpinic acid, potassium salt, (e)-isome"
furan,"alpha-acetamido-n-benzyl-alpha-(furan-2-yl)acetamide, (r)-isome"
furan,"alpha-acetamido-n-benzyl-alpha-(furan-2-yl)acetamide, (s)-isome"
furan,sesaminol triglucoside
furan,manassantin b1
furan,hyphodermin d
furan,lysocellin monosodium salt
furan,ono 1052
furan,ono 1078
furan,ono 1082
furan,ono 11006
furan,ono 1101
furan,ono 11105
furan,ono 11113
furan,ono 11119
furan,ono 11120
furan,ono 1206
furan,ono 1301
furan,ono 1505
furan,ono 1603
furan,ono 1714
furan,"gigantetroneninone, (trans)-isome"
furan,"galgravin, (2alpha,3alpha,4alpha,5alpha)-isome"
furan,"galgravin, (2alpha,3alpha,4alpha,5beta)-(+-)-isome"
furan,"galgravin, (2alpha,3alpha,4alpha,5beta)-isome"
furan,"galgravin, (2alpha,3alpha,4beta,5alpha)-isome"
furan,"galgravin, (2alpha,3alpha,4beta,5beta)-(+)-isome"
furan,"galgravin, (2alpha,3beta,4alpha,5beta)-isome"
furan,"galgravin, (2r-(2alpha,3alpha,4beta,5alpha))-isome"
furan,"galgravin, (2s-(2alpha,3beta,4alpha,5beta))-isome"
furan,nidulalin a
furan,grandisine 
furan,grandisine a
furan,grandisine b
furan,grandisine d
furan,grandisine f
furan,f 4614
furan,chaetomugilin d
furan,"xanthoxylol, (1r-(1alpha,3aalpha,4alpha,6aalpha))-isome"
furan,"xanthoxylol, (1r-(1alpha,3alpha,4beta,6aalpha))-isome"
furan,"xanthoxylol, (1s-(1alpha,3aalpha,4alpha,6aalpha))-isome"
furan,burseranin
furan,squamocin-o1
furan,squamocin-o2
furan,aranorosinol a
furan,aranorosinol b
furan,"2-furoic acid, sodium salt"
furan,malettinin d
furan,"goniothalamicinone, (2,4-cis)-isome"
furan,"spiroketalenol ether-6,7-epoxy-diyne"
furan,tiangou capsule
furan,2-(2-benzimidazolyl)-5-(4-(2-imidazolino)phenyl)furan dihydrochloride
furan,tetrahydrofuran monooxygenase
furan,tetrahydrofuran mono-oxygenase
furan,tetrahydrofurantetracarboxylic acid-rgds conjugate
furan,tetrahydrofuranylcarbamatemonopyrrolinone
furan,tetrahydrofuranylcarbamate-monopyrrolinone
furan,plumieride coumarate glucoside
furan,(tetrahydro-2-(methylthio)furan-2-yl)methyl phosphate dianion
furan,"furfenorex, (+)-isome"
furan,flazine
furan,formylmethanofuran dehydrogenase
furan,"formylmethanofuran dehydrogenase, tungsten, methanobacterium thermoautotrophicus"
furan,formylmethanofuran-tetrahydromethanopterin formyltransferase
thiophane,tetrahydrothiophene 1-oxide
thiophene,tinofedrine hydrochloride
thiophene,"tinofedrine hydrochloride, (r-(r*,s*))-isome"
thiophene,tetrahydrothiophene 1-oxide
thiophene,garlicnin d
thiophene,sezolamide hydrochloride
thiophene,sezolamide monohydrochloride
thiophene,sezolamide monohydrochloride(+)-(s)-isome
thiophene,"ib 503, hydrochloride"
thiophene,"ib 503, maleate (1:1)"
thiophene,sertaconazole nitrate
thiophene,"2,2-dicyclohexyl-5-((dimethylamino)methyl)-1,3-oxathiolane methiodide, (-)-isome"
thiophene,"2,2-dicyclohexyl-5-((dimethylamino)methyl)-1,3-oxathiolane methiodide, (+-)-isome"
thiophene,dibenzothiophene dioxide monooxygenase
thiophene,dibenzothiophene monooxygenase
thiophene,dibenzothiophene sulfone
thiophene,dibenzothiophene sulfone monooxygenase
thiophene,tertatolol hydrochloride
thiophene,"tertatolol hydrochloride, (+-)-isome"
thiophene,"tertatolol, (+-)-isome"
thiophene,thiambutene hydrochloride
thiophene,dorzolamide chibret
thiophene,dorzolamide hydrochloride
thiophene,dorzolamide hydrochloride-timolol maleate combination
thiophene,"dorzolamide, (trans)-isome"
thiophene,2-acetylthiophene-2-thiazolylhydrazone
thiophene,thiarubrine a
thiophene,thiarubrine d
thiophene,"2-methyl-4,6-bis-(n,n-dimethylaminophenyl)thiopyrylium iodide"
thiophene,"2-methyl-5-(dimethylamino)methyl-1,3-oxathiolane-3-oxide, (-)-isome"
thiophene,"2-methyl-5-(dimethylamino)methyl-1,3-oxathiolane-3-oxide, (+)-isome"
thiophene,"rwj 26629, (6r-trans)-isome"
thiophene,"rwj 26629, trans-(+-)-isome"
thiophene,"l 652343, (z)-isome"
thiophene,"rp 64966, sodium salt"
thiophene,"tenilsetam, (+-)-isome"
thiophene,"mdl 19744a, (+-)-isome"
thiophene,5-bromo-4-hexylthiophen-2-ylmagnesium chloride
thiophene,"l 693612, (trans-(-))-isome"
thiophene,"tiaprost, (1r-(1alpha(z),2beta(1e,3r*),3alpha,5alpha))-isome"
thiophene,"tiaprost, (1r-(1alpha(z),2beta(1e,3s*),3alpha,5alpha))-isome"
thiophene,af-cx 1325 xx
thiophene,"n 0437, (-)-isome"
thiophene,"n 0437, (+-)-isome"
thiophene,"n 0437, (r)-isome"
thiophene,"n 0437, hydrochloride, (r)-isome"
thiophene,"n 0437, hydrochloride, (s)-isome"
thiophene,iodonium thiophene chloride
thiophene,iodonium thiophene tetrafluoroborate (1-)
thiophene,"5-fluoro-1-(2-hydroxymethyl)-1,3-oxathiolane-5-yl-cytidine-5'-triphosphate, (2s-cis)-isome"
thiophene,"2,6-bis(4-aminophenyl)-4-(4-(dimethylamino)phenyl)thiopyrylium tetrafluoroboride"
thiophene,"thiophene-2-carboxylate, 2-(14)c-label"
thiophene,"thiophene-2-carboxylate, sodium salt"
thiophene,"duloxetine ethanedioate (1:1), (+-)-isome"
thiophene,duloxetine hydrochloride
thiophene,"duloxetine, (-)-isome"
thiophene,"duloxetine, (+)-isome"
thiophene,tiamenidine monohydrochloride
thiophene,"3,4-dihydroxysulfolane, (trans)-isome"
thiophene,"2,6-bis(4-anilino)-4-(4-n,n-dimethylanilino)thiopyrylium chloride selenium"
thiophene,"5',5''-bis(aminomethyl)-2,2'-5',2''-terthiophene dihydrochloride"
thiophene,"2-methyl-5-((dimethylamino)methyl)-1,3-oxathiolane methiodide, (2r-cis)-isomer iodide"
thiophene,"2-methyl-5-((dimethylamino)methyl)-1,3-oxathiolane methiodide, (2s-cis)-isomer iodide"
thiophene,"2-methyl-5-((dimethylamino)methyl)-1,3-oxathiolane methiodide, (cis-(+-))-isomer iodide"
thiophene,"mazaticol hydrochloride, (exo)-isome"
thiophene,"mazaticol hydrochloride, 9-(methyl-(14)c)-labeled, (exo)-isome"
thiophene,"mazaticol hydrochloride, carboxy, alpha-di-14c-label"
thiophene,"citiolone, (+-)-isome"
thiophene,tibenelast sodium
thiophene,cevimeline hydrochloride
thiophene,"1,3-oxathiolane-4-nitrobenzene"
thiophene,"5-(((methoxyethyl)((methoxyethoxy)ethyl)amino)methyl)thieno(2,3-b)thiophene-2-sulfonamide hydrochloride"
scillaren,scillaren a
scillaren,scillarenin
scillaren,scillarenin rhamnoside
"2,5-hexanedione","2,5-hexanedione bis(isonicotinylhydrazone)"
"2,5-hexanedione","2,5-hexanedione-bis(phenylhydrazone)"
succinamide,succinamide conjugate diacid
succinic acid,tmc 52d
succinic acid,"bromosuccinic acid, (+-)-isome"
succinic acid,"succinyl phosphate, trilithium salt"
succinic acid,3-methylitaconate delta-isomerase
succinic acid,"3-methylitaconate, (+-)-isome"
succinic acid,"3-methylitaconate, (r)-isome"
succinic acid,diethyl succinate carboxylesterase
succinic acid,"succinic acid mono-3-amino-2,4,6-triiodo-n-ethylanilide, sodium salt"
succinic acid,"perfluorosuccinic acid, ammonia salt"
succinic acid,"2,3-epoxysuccinic acid, (trans(-))-isome"
succinic acid,"2,3-epoxysuccinic acid, (trans(+))-isome"
succinic acid,"2,3-epoxysuccinic acid, (trans(+-))-isome"
succinic acid,"2,3-epoxysuccinic acid, (trans)-isome"
succinic acid,"2,3-epoxysuccinic acid, barium (1:1) salt"
succinic acid,"2,3-epoxysuccinic acid, dipotassium salt"
succinic acid,"2,3-epoxysuccinic acid, disodium salt"
succinic acid,"2,3-epoxysuccinic acid, monopotassium salt"
succinic acid,succinamide conjugate diacid
succinic acid,"n(2)-succinylarginine dihydrolase, pseudomonas aeruginosa"
succinic acid,"n(2)-succinylornithine 5-aminotransferase, pseudomonas aeruginosa"
succinic acid,guanidinosuccinic acid amidinohydrolase
succinic acid,"guanidinosuccinic acid, (dl)-isome"
succinic acid,"octenyl succinate, dipotassium salt"
succinic acid,"octenyl succinate, disodium salt"
succinic acid,"itaconic acid, calcium salt"
succinic acid,"itaconic acid, copper salt"
succinic acid,"itaconic acid, disodium salt"
succinic acid,"itaconic acid, sodium salt"
succinic acid,"fluorosuccinate, (+-)-isome"
succinic acid,"fluorosuccinate, (r)-isome"
succinic acid,"fluorosuccinate, (s)-isome"
succinic acid,"methylsuccinic acid, (+-)-isome"
succinic acid,monomethyl succinate sodium salt
succinic acid,"thiosuccinic acid, ammonium salt"
succinic acid,"thiosuccinic acid, diammonium salt"
succinic acid,"thiosuccinic acid, disodium salt"
succinic acid,"thiosuccinic acid, magnesium salt"
succinic acid,"thiosuccinic acid, monoammonium salt"
succinic acid,"thiosuccinic acid, monosodium salt"
succinic acid,"thiosuccinic acid, sodium salt"
succinic acid,"thiosuccinic acid, trilithium salt"
succinic acid,"thiosuccinic acid, trisodium salt"
succinic acid,benzylsuccinate synthase
succinic acid,"dodecylsuccinic acid, diammonium salt"
maleic acid,"2-chloromaleylacetate, (e)-isome"
maleic acid,poly(styrene-alt-maleic anhydride)-co-poly(7-(4-vinylbenzyloxyl)-4-methylcoumarin-alt-malic anhydride)
maleic acid,"benzmalecene, monosodium salt"
maleic acid,"benzmalecene, monosodium salt, (z)-isome"
maleic acid,maleic acid aldehyde
maleic acid,maleic acid dibutyl ester
maleic acid,maleic acid diethyl ester
maleic acid,maleic acid hydrazide
maleic acid,maleic acid mono-2-methacryloyloxy ethyl ether
maleic acid,maleic acid monoamide
maleic acid,"maleic acid, dimethyl ester"
maleic acid,"maleic acid, methyl vinyl ether polymer, calcium sodium salt"
maleic acid,maleic acid-isobutylene copolymer
maleic acid,maleic acid-methacrylic polyanion
maleic acid,maleic acid-styrene polymer
maleic acid,chaetomellic acid d
maleic acid,"2,3-dihydroxymaleic acid, dilithium salt, (z)-isome"
maleic acid,"2,3-dihydroxymaleic acid, dipotassium salt, (z)-isome"
maleic acid,"2,3-dihydroxymaleic acid, disodium salt, (z)-isome"
maleic acid,maleylacetone isomerase
maleic acid,"styrene-maleic acid polymer, disodium salt"
maleic acid,"citraconic acid, (e)-isome"
maleic acid,"citraconic acid, ammonium salt"
maleic acid,"citraconic acid, calcium salt"
maleic acid,"citraconic acid, sodium salt"
maleic acid,"dichloromaleic acid, z-isome"
maleic acid,maleate cis-trans-isomerase
maleic acid,maleate hydratase
maleic acid,maleate isomerase
maleic acid,maleate of benzoral
maleic acid,maleate of kas 010
maleic acid,maleate of prozapine
maleic acid,maleate of ro 16-8714
maleic acid,"maleate salt, trimebutine"
maleic acid,maleate(1:1)(z)-isomer of 1-methyl-2-(4-chlorophenyl)aziridine
maleic acid,"maleate, acepromazine"
maleic acid,"maleate, brompheniramine"
maleic acid,"maleate, chlorpheniramine"
maleic acid,"maleate, diethylcarbamazine"
maleic acid,"maleate, dimethindene"
maleic acid,"maleate, domperidone"
maleic acid,"maleate, enalapril"
maleic acid,"maleate, lisuride"
maleic acid,"maleate, loxipine"
maleic acid,"maleate, mepyramine"
maleic acid,"maleate, methiothepin"
maleic acid,"maleate, methysergide"
maleic acid,"maleate, midazolam"
maleic acid,"maleate, nomifensine"
maleic acid,"maleate, paroxetine"
maleic acid,"maleate, perazine"
maleic acid,"maleate, pheniramine"
maleic acid,"maleate, prochlorperazine"
maleic acid,"maleate, pyrilamine"
maleic acid,"maleate, trimebutine"
maleic acid,"maleate, vecuronium"
maleic acid,"hydrogen maleate, lysuride"
fumaric acid,fumaric acid ester
fumaric acid,fumaric acid monoethyl ester
fumaric acid,fumaric acid semialdehyde ethyl ester
fumaric acid,"fumaric acid, diethyl ester"
fumaric acid,"fumaric acid, monooctadecyl ester, sodium salt"
fumaric acid,"fumaric acid, triethanolamine salt"
fumaric acid,fumaric aciduria
sorbic acid,"2-chloromuconic acid, (e,z)-isome"
sorbic acid,"2-chloromuconic acid, (z,z)-isome"
sorbic acid,2-hydroxymuconic acid semialdehyde hydro-lyase
sorbic acid,"2-amino-4,5-hexadienoic acid, (s)-isome"
sorbic acid,"muconic acid, (e,e)-isome"
"1,4-dibromobutane","1,4-dibromobutanedione"
bleomycin,platomycin a
bleomycin,platomycin b
bleomycin,bleomycetin hydrochloride
bleomycin,zhengguangmycin a2
bleomycin,zhengguangmycin a5
bleomycin,zhengguangmycin a6
bleomycin,zhengguangmycin b2
putrescine,"1,4-diaminobutanone dihydrochloride"
putrescine,"2-hydroxyputrescine, (+)-isome"
putrescine,"2-hydroxyputrescine, (+-)-isome"
putrescine,"2-hydroxyputrescine, dihydrochloride, (+-)-isome"
putrescine,n-acetylputrescine monohydrochloride
putrescine,"n,n,n',n'-tetraethyl-1,4-diaminobut-2-ene dibenzoate, (e)-isome"
putrescine,"n,n,n',n'-tetraethyl-1,4-diaminobut-2-ene dihydrobromide, (e)-isome"
putrescine,"n,n,n',n'-tetraethyl-1,4-diaminobut-2-ene fumarate, (e)-isome"
putrescine,"n,n,n',n'-tetraethyl-1,4-diaminobut-2-ene phosphate, (e)-isome"
putrescine,"n,n,n',n'-tetraethyl-1,4-diaminobut-2-ene, (e)-isome"
putrescine,"n,n,n',n'-tetraethyl-1,4-diaminobut-2-ene, (z)-isome"
putrescine,grandiamide d
putrescine,n-carbamoylputrescine amidinohydrolase
putrescine,n-carbamoylputrescine hydrolase
putrescine,"alpha-(fluoromethyl)dehydroputrescine dihydrochloride, (e)-isome"
pentanal,pentanal n-methyl-n-formylhydrazone
"1,4-butanediol","1,4-butanediol di-2,2,2-trifluoroethanesulfonate"
"1,4-butanediol","1,4-butanediol diglycidyl ether"
"1,4-butanediol","1,4-butanediol diisethionate"
"1,4-butanediol","1,4-butanediol dimethacrylate"
"1,4-butanediol","1,4-butanediol divalproate"
"1,4-butanediol","1,4-butanediol, 2,3-bis(1,3-benzodioxol-5-ylmethyl)-, (r*,r*)-(-)-"
"1,4-butanediol","1,4-butanedioldiglycidyl ether"
apocarotenal,"apocarotenal oxygenase, synechocystis"
galactomannan,"galactomannan, phosphate"
galactomannan,galactomannanase
galactomannan,"galactomannanase man2, thermotoga neapolitana"
galactomannan,"galactomannanase man5, thermotoga neapolitana"
galactomannan,galactomannane peptide
2-ethoxyethanol,ethylene glycol monoethyl ether acetate
cyclohexene,paulomycin a
cyclohexene,paulomycin b
cyclohexene,paulomycin d
cyclohexene,"captafol, (cis)-isome"
cyclohexene,isogabaculine trifluoromesylate
cyclohexene,"isogabaculine trifluoromesylate, (-)-isome"
cyclohexene,"1,4-cyclohexadiene-1,4-dicarbamic acid, 2,5-(bis-(1-aziridinyl))-3,6-dioxo diethyl ester"
cyclohexene,"azarole, (e)-isome"
cyclohexene,"azarole, (z)-isome"
cyclohexene,"aeroplysinin i, (1r-trans)-isome"
cyclohexene,"aeroplysinin i, trans-(+-)-isome"
cyclohexene,"alpha-terpineol, sodium salt"
cyclohexene,alpha-terpineol-beta-d-o-glucopyranoside
cyclohexene,aeroplysinin-1
cyclohexene,aeroplysinin-1 dienone
cyclohexene,aeroplysinin-i
cyclohexene,"3-cyclohexene-1-carboxylic acid, potassium salt"
cyclohexene,"limonene 1,2-monooxygenase"
cyclohexene,limonene 3-monooxygenase
cyclohexene,limonene 6-monooxygenase
cyclohexene,limonene dimercaptan
cyclohexene,limonene hydratase
cyclohexene,limonene oxide
cyclohexene,limonene synthase
cyclohexene,"limonene, (+-)-isome"
cyclohexene,"limonene, (r)-isome"
cyclohexene,"limonene, (s)-isome"
cyclohexene,"limonene-1,2-diol dehydrogenase"
cyclohexene,"limonene-1,2-epoxide"
cyclohexene,"limonene-1,2-epoxide hydrolase"
cyclohexene,"limonene-1,2-epoxide, (1r-(1alpha,4beta,6alpha))-isome"
cyclohexene,"limonene-1,2-epoxide, (1s-(1alpha,4alpha,6alpha))-isome"
cyclohexene,"limonene-1,2-epoxide, cis-(+)-isome"
cyclohexene,"limonene-1,2-epoxide, cis-isome"
cyclohexene,"limonene-1,2-epoxide, trans-(+)-isome"
cyclohexene,"limonene-1,2-epoxide, trans-isome"
cyclohexene,"limonene-1,2-oxide"
cyclohexene,limonene-3-hydroxylase
cyclohexene,limonene-6-hydroxylase
cyclohexene,4-vinylcyclohexene diepoxide
cyclohexene,"siglure, (cis)-isome"
cyclohexene,"siglure, (trans)-isome"
cyclohexene,"2,5-dimethyl-4-benzoquinonediimine"
cyclohexene,hawkinsinuria
cyclohexene,"beta-phellandrene, (-)-isome"
cyclohexene,"beta-phellandrene, (+-)-isome"
cyclohexene,"perillartine, (e)-(-)-isome"
cyclohexene,"perillartine, (e)-(+)-isome"
cyclohexene,"perillartine, (e)-(+-)-isome"
cyclohexene,"perillartine, (e)-isome"
cyclohexene,"perillartine, (s)-isome"
cyclohexene,humulone
cyclohexene,"fenestrel, sodium salt"
cyclohexene,pretyrosine dehydratase
cyclohexene,kweichowenol d
cyclohexene,conduritol b epoxide
cyclohexene,"conduritol b, (1alpha,2alpha,3alpha,4beta)-isome"
cyclohexene,"conduritol b, (1alpha,2beta,3beta,4alpha)-isome"
cyclohexene,"conduritol b, (1r-(1alpha,2alpha,3beta,4alpha))-isome"
cyclohexene,conduritol b-epoxide
cyclohexene,cyclohexene-guanine
cyclohexene,chloridazondihydrodiol dehydrogenase
cyclohexene,trichodiene synthase
cyclohexene,trichodiene synthetase
piperazine,"du 608, dihydrobromide"
piperazine,"du 608, dihydrochloride"
piperazine,"du 608, dihydrochloride, (r*,r*)-(+-)-isome"
piperazine,"du 608, fumarate (1:2)"
piperazine,"du 608, hydrochloride, (r*,s*)-(-)-isome"
piperazine,"du 608, hydrochloride, (r*,s*)-(+)-isome"
piperazine,"du 608, maleate (1:2)"
piperazine,etodroxizine maleate
piperazine,dapiprazole hydrochloride
piperazine,substance 30
piperazine,substance 838
piperazine,substance 86
piperazine,substance abuse
piperazine,substance abuse and mental health services administration (u.s.)
piperazine,substance abuse detection
piperazine,substance abuse t
piperazine,substance abuse test
piperazine,substance abuse treatment center
piperazine,"substance abuse, intravenous"
piperazine,substance addiction
piperazine,"substance bank, biological"
piperazine,"substance banks, biological"
piperazine,substance dependence
piperazine,substance f
piperazine,substance h+b
piperazine,substance induced psychoose
piperazine,substance k
piperazine,substance k receptor
piperazine,substance m
piperazine,substance p
piperazine,substance p (1-4)
piperazine,substance p (1-4)-c12
piperazine,substance p (1-6)
piperazine,substance p (1-7)
piperazine,"substance p (1-7), pro(2)-phe(7)-"
piperazine,substance p (1-9)
piperazine,substance p (3-11)
piperazine,"substance p (3-11), alpha-biotinyl-lys(3)-"
piperazine,"substance p (3-11), alpha-biotinyl-lysine(3)-"
piperazine,"substance p (3-11), diacetate"
piperazine,substance p (3-4)
piperazine,substance p (4-11)
piperazine,"substance p (4-11), beta-ala(4)-sar(9)-met(02)(11)-"
piperazine,"substance p (4-11), beta-alanyl(4)-sarcosyl(9)-methionine(02)(11)-"
piperazine,"substance p (4-11), beta-alanyl(4)-seryl(9)-methionine(o2)(11)"
piperazine,"substance p (4-11), pro(4)-npa(7,9)-phe(11)-"
piperazine,"substance p (4-11), pro(4)-trp(2,9,10)-"
piperazine,"substance p (4-11), pro(4)-trp(7,9)-"
piperazine,"substance p (4-11), pro(4)-trp(7,9)-leunh2(11)-"
piperazine,"substance p (4-11), pro(4)-trp(7,9)-nle(11)-"
piperazine,"substance p (4-11), pro(4)-trp(7,9)-phenh2(11)-"
piperazine,"substance p (4-11), pro(4)-trp(7,9,10)-"
piperazine,"substance p (4-11), pro(4)-trp(7,9,10)-, d-prolyl-d-tryptophyl-d-tryptophyl-d-tryptophyl-isome"
piperazine,"substance p (4-11), pro(4)-trp(7,9,10)-, d-prolyl-d-tryptophyl-d-tryptophyl-isome"
piperazine,"substance p (4-11), pro(4)-trp-(7,9,10)-phe(11)-"
piperazine,"substance p (4-11), pro(4)-val(8)-trp(7,9,10)-"
piperazine,"substance p (4-11), prolyl (4)-tryptophyl(7,9)-norleucine(11)-"
piperazine,"substance p (4-11), prolyl(4)-naphthylalanyl(7,9)-phenylalanine(11)-"
piperazine,"substance p (4-11), prolyl(4)-tryptophan(7,9,10)-"
piperazine,"substance p (4-11), prolyl(4)-tryptophyl(7,9)-phenylalaninamide(11)-"
piperazine,"substance p (4-11), prolyl-(4)-tryptophyl(7,9,10)-phenylalanine(11)-"
piperazine,"substance p (4-11), prolyl(4)-valyl(8)-tryptophan(7,9,10)-"
piperazine,"substance p (4-11),prolyl(4)-tryptophyl(7,9)-leucinamide(11)-"
piperazine,substance p (5-11)
piperazine,"substance p (5-11), arg(5)-trp(7,9)-"
piperazine,"substance p (5-11), arg(5)-trp(7,9)-nle(11)-"
piperazine,"substance p (5-11), arginyl(5)-tryptophan(7,9)-"
piperazine,"substance p (5-11), asp(5,6)-mephe(8)-"
piperazine,"substance p (5-11), asparaginyl(5,6)-methylphenylalanine(8)-"
piperazine,"substance p (5-11), cyclo(11-5(epsilon))lys(5)-"
piperazine,"substance p (5-11), cyclo(11-5(epsilon))lysine(5)-"
piperazine,"substance p (5-11), glp(5)-glu(o-benzyl)(11)-"
piperazine,"substance p (5-11), monotrifluoroacetate"
piperazine,"substance p (5-11), n(5)-dimegln(6)-"
piperazine,"substance p (5-11), n,n-dime-gln(6)-"
piperazine,"substance p (5-11), n-alpha-(desamino-3-iodotyrosyl)- 8-n-methylphenylalanine-5,6-asparagine-"
piperazine,"substance p (5-11), n-alpha-(desamino-3-iodotyrosyl)-8-n-me-phe-5,6-asp-"
piperazine,"substance p (5-11), pglu(5)-mephe(8)-megly(9)-"
piperazine,"substance p (5-11), pglu(5)-mephe(8)-sar(9)-"
piperazine,"substance p (5-11), pyroglutamyl(5)-glutamyl(o-benzyl)(11)-"
piperazine,"substance p (5-11), pyroglutamyl(5)-methylphenylalanyl(8)-methylglycine(9)-"
piperazine,"substance p (5-11), trifluoroacetate"
piperazine,substance p (6-11)
piperazine,"substance p (6-11), ac(arg(6)-sar(9)-met(o2)(11))-"
piperazine,"substance p (6-11), ac-arg(6)-pro(9)-"
piperazine,"substance p (6-11), acetyl(arginyl(6)-sarcosyl(9)-methylsulfonyl(11))-"
piperazine,"substance p (6-11), acetyl-arginyl(6)-proline(9)-"
piperazine,"substance p (6-11), arg(6)-trp(7,9)-me-phe(8)-"
piperazine,"substance p (6-11), arginyl(6)-tryptophyl(7,9)-methylphenylalanine(8)-"
piperazine,"substance p (6-11), glp(6)-glu(o-benzyl)(11)-"
piperazine,"substance p (6-11), glp(6)-iodo-tyr(8)-"
piperazine,"substance p (6-11), glp(6)-pro(9)-"
piperazine,"substance p (6-11), glu(6)-"
piperazine,"substance p (6-11), glu(glc)(6)-"
piperazine,"substance p (6-11), glutamic acid (glc)(6)-"
piperazine,"substance p (6-11), glutamic acid(6)-"
piperazine,"substance p (6-11), hexapeptide-pglu(6)-"
piperazine,"substance p (6-11), n(1,6)(beta-glucopyranosyl)glu(5)-pro(9)-"
piperazine,"substance p (6-11), n(1,6)(beta-glucopyranosyl)glutamyl(5)-proline(9)-"
piperazine,"substance p (6-11), n(alpha)-(3-iododesaminotyrosyl)-"
piperazine,"substance p (6-11), orn(6)-"
piperazine,"substance p (6-11), ornithine(6)-"
piperazine,"substance p (6-11), pglu(6)-"
piperazine,"substance p (6-11), pglu(6)-n-meleu(10)-"
piperazine,"substance p (6-11), pglu(6)-n-mephe(7)-"
piperazine,"substance p (6-11), pglu(6)-n-mephe(8)-aib(9)-"
piperazine,"substance p (6-11), pglu(6)-phe(8)-psi-(methyleneoxy)-gly(9)-"
piperazine,"substance p (6-11), phe(7)-his(9)-"
piperazine,"substance p (6-11), pyroglutamic acid-"
piperazine,"substance p (6-11), pyroglutamyl(6)-glutamyl(o-benzyl)(11)-"
piperazine,"substance p (6-11), pyroglutamyl(6)-iodo-tyrosine(8)-"
piperazine,"substance p (6-11), pyroglutamyl(6)-n-methylleucine(10)-"
piperazine,"substance p (6-11), pyroglutamyl(6)-phenylalanyl(8)-psi-(methyleneoxy)-glycine(9)-"
piperazine,"substance p (6-11), pyroglutamyl(6)-proline(9)-"
piperazine,"substance p (6-11), succinyl-asp(6)-me-phe(8)-"
piperazine,"substance p (6-11), succinyl-aspartyl(6)-methylphenylalanine(8)-"
piperazine,"substance p (6-11), tyr(6)-d-phe(7)-d-his(9)-"
piperazine,"substance p (6-11),pyroglutamyl(6)-n-methylphenylalanyl(8)-aminoisobutyric acid(9)-"
piperazine,"substance p (6-11)-o-benzyl, orn(6)-glu(o-benzyl)(11)-"
piperazine,"substance p (6-11)-o-benzyl, ornithyl(6)-glutamyl(o-benzyl)(11)-"
piperazine,"substance p (7-10), delta-aminovaleryl-pro(9)-n-meleu(10)-"
piperazine,"substance p (7-10),delta-aminovaleryl-prolyl(9)-n-methylleucine(10)-"
piperazine,substance p (7-11)
piperazine,"substance p (7-11), delta-ava-pro(9)-"
piperazine,substance p (7-11). delta-aminovalyl-pro(9)-
piperazine,substance p analog(eledoisin related peptide)
piperazine,substance p c-terminal heptapeptide
piperazine,substance p degrading enzyme
piperazine,substance p endopeptidase
piperazine,substance p hexapeptide
piperazine,substance p octapeptide
piperazine,substance p receptor
piperazine,"substance p(4-11), beta ala(4)-ser(9)-met(o2)(11)-"
piperazine,"substance p(4-11), pro(4)-trp(7,9,10)-leunh2(11)-"
piperazine,"substance p(4-11), prolyl(4)-tryptophan(7,9)-"
piperazine,"substance p(4-11), prolyl(4)-tryptophyl(7,9,10)-leucinamide(11)-"
piperazine,"substance p(5-11), arginyl(5)-tryptophyl(7,9)-norleucine(11)-"
piperazine,"substance p(6-11), phenylalanyl(7)-histidyl(9)-"
piperazine,"substance p(6-11), pyroglutamyl(6)-n-methylphenylalanine(7)-"
piperazine,"substance p, (3-iodo-4-hydroxyphenyl)propionic acid-"
piperazine,"substance p, 1,4,7,10-tetraazacyclododecane-1-glutaric acid-4,7,10-triacetic acid-arg(1)-"
piperazine,"substance p, 1,4,7,10-tetraazacyclododecane-1-glutaric acid-4,7,10-triacetic acid-arginyl(1)-"
piperazine,"substance p, 213bi-dota(thi(8)-met(o2)(11))-"
piperazine,"substance p, 213bi-dota(thienylalanyl(8)-methionyl(o2)(11))-"
piperazine,"substance p, 3-(4-hydroxy-3,5-diiodophenyl)propionic acid-"
piperazine,"substance p, alpha-biotinyl-arg(1) -"
piperazine,"substance p, alpha-biotinyl-arginine(1)-"
piperazine,"substance p, alpha-n-arg(1)-epsilon-n-lys(3)-di-(pyridoxal phosphate)-"
piperazine,"substance p, alpha-n-arginyl(1)-epsilon-n-lysine(3)-di-(pyridoxal phosphate)-"
piperazine,"substance p, amino(4)-phe(7)-"
piperazine,"substance p, aminoethyl(2)-met(11)-"
piperazine,"substance p, aminoethyl(2)-methionine(11)-"
piperazine,"substance p, arg(1)-cl2-phe(5)-asn(6)-trp(7,9)-nle(11)-"
piperazine,"substance p, arg(1)-phe(5)-trp(7,9)-leu(11)-"
piperazine,"substance p, arg(1)-pro(2)-phe(7)-his(9)-"
piperazine,"substance p, arg(1)-pro(2)-trp(7),(9)-leunh(2)(11)-"
piperazine,"substance p, arg(1)-pro(2)-trp(7,9)-"
piperazine,"substance p, arg(1)-pro(2)-trp(7,9)-leu(11)-"
piperazine,"substance p, arg(1)-trp(5,7,9)-leu(11)-"
piperazine,"substance p, arg(1)-trp(7,9)-leu(11)-"
